Vejnavn,Latitude,Longitude
Ellebjergvej,55.650542866327385,12.510778477828707
Englandsvej,55.638347243450795,12.599838290169485
Fredensbro,55.69228886666364,12.56879034165127
Frederikssundsvej,55.7017611558294,12.533557616409999
Gadelandet,55.71099783195591,12.48285487076786
Hareskovvej,55.720197369662245,12.494825413791672
Islands Brygge,55.66961291969416,12.579849231852762
Jagtvej,55.69366359076717,12.548061168794277
Kalkbrænderihavnsgade,55.69466158083139,12.593157499511655
Kalvebod Brygge,55.66768959779448,12.57087572521777
Molbechsvej,55.662210253416404,12.519061451716993
Mozartsvej,55.64833054350128,12.530201943597767
Roskildevej,55.672726693076676,12.478543387854396
Skt. Kjelds Gade,55.709147714363844,12.566649915461179
Sølvgade,55.68674045590475,12.581145151359395
Torvegade,55.67024751665121,12.59503780947455
Tuborgvej,55.71834863480781,12.539867537193642
Vejlands Alle´,55.64145940797613,12.565354184574135
Vigerslev Allé,55.66166495638953,12.51801037500735
Wittenberggade,55.66179265104244,12.612252457866752
Åboulevard,55.68337535975952,12.555881940020345
Ørestads Boulevard,55.63736684378988,12.582357148476676
